Name;Artist;Decade;Rank;valence;duration_ms;Country;Release date
The Twist;Chubby Checker;60;1;937;153760;United States;11/05/1960
Hey Jude;The Beatles;60;2;585;238854;England;01/11/1968
Theme from “A Summer Place”;Percy Faith & His Orchestra;60;3;749;144893;Canada;24/03/1960
Tossin’ and Turnin’;Bobby Lewis;60;4;965;159640;United States;03/09/1964
I Want to Hold Your Hand;The Beatles;60;5;866;145747;England;18/11/1964
I’m a Believer;The Monkees;60;6;935;165613;United States;10/07/1967
Aquarius/Let the Sun Shine In;The Fifth Dimension;60;7;516;289293;United States;26/03/1966
Sugar, Sugar;The Archies;60;8;967;167187;United States;20/03/1966
I Heard it Through the Grapevine;Marvin Gaye;60;9;637;196707;United States;01/12/1967
Are You Lonesome Tonight;Elvis Presley;60;10;191;187027;United States;19/05/1969
It’s Now or Never;Elvis Presley;60;11;753;194600;United States;31/12/1961
I’m Sorry;Brenda Lee;60;13;305;159973;United States;01/04/1961
Love Is Blue (L'amour Est Bleu);Paul Mauriat and His Orchestra;60;14;266;155867;France;16/07/1961
Hello Dolly!;Louis Armstrong;60;15;682;144320;United States;11/08/1966
Big Girls Don’t Cry;The Four Seasons;60;16;883;145973;United States;30/04/1969
Sugar Shack;Jimmy Gilmer and the Fireballs;60;17;94;120477;United States;02/06/1962
Honky Tonk Woman ;The Rolling Stones;60;18;965;179413;England;01/05/1962
(Sittin’ On) The Dock of the Bay;Otis Redding;60;19;699;161667;United States;10/06/1961
Big Bad John;Jimmy Dean;60;20;367;177086;United States;07/09/1961
You Light Up My Life;Debbie Boone;70;1;685;216287;United States;06/11/1978
Tonight’s the Night (Gonna Be Alright);Rod Stewart;70;2;767;236173;United Kingdom;01/02/1971
Le Feak;Chic;70;3;901;328840;United States;21/04/1975
How Deep is Your Love;Bee Gees;70;4;674;245200;Australia;02/04/1979
I Just Want to Be Your Everything;Andy Gibb;70;5;831;225667;Australia;24/11/1971
Silly Love Songs;Wings;70;6;872;354267;United Kingdom;09/05/1971
Let’s Get it On;Marvin Gaye;70;7;607;290960;United States;24/05/1974
Night Fever;Bee Gees;70;8;768;209400;Australia;05/05/1971
Tie a Yellow Ribbon Round the Ole Oak Tree;Dawn ft. Tony Orlando;70;9;642;207600;United States;18/07/1970
Shadow Dancing;Andy Gibb;70;10;954;267000;Australia;19/02/1978
Stayin’ Alive;Bee Gees;70;11;949;283147;Australia;30/01/1978
Hot Stuff;Donna Summer;70;12;965;314760;United States;31/08/1975
You’re So Vain;Carly Simon;70;13;647;258411;United States;04/04/1978
Play That Funky Music;Wild Cherry;70;14;933;300000;United States;12/02/1972
My Sharona;The Knack;70;15;897;295400;United States;24/06/1974
Killing Me Softly With His Song;Roberta Flack;70;16;329;286920;United States;27/11/1973
Best of My Love;The Emotions;70;17;97;220560;United States;01/06/1970
The Way We Were;Barbara Streisand;70;18;171;211093;United States;04/01/1971
A Fifth of Beethoven;Walter Murphy;70;19;784;182533;United States;04/11/1978
I Will Survive;Gloria Gaynor;70;20;558;198066;United States;18/09/1977
Physical;Olivia Newton-John;80;1;81;221933;Australia;24/10/1983
Bette Davis Eyes;Kim Carnes;80;2;596;228000;United States;26/06/1989
Endless Love;Lionel Richie & Diana Ross;80;3;215;265613;United States;17/08/1988
Eye Of the Tiger;Survivor;80;4;548;245640;United States;19/05/1987
Every Breath You Take;The Police;80;5;722;251573;United Kingdom;02/01/1981
Flashdance…What A Feeling;Irene Cara;80;6;578;234040;United States;11/12/1989
Another One Bites the Dust;Queen;80;7;771;215933;United Kingdom;09/03/1985
Say Say Say;Paul McCartney & Michael Jackson;80;8;766;234160;United Kingdom;20/11/1988
Call Me;Blondie;80;9;773;212227;United States;30/03/1988
Lady;Kenny Rogers;80;10;2;231867;United States;27/02/1986
Centerfold;The J. Geils Band;80;11;888;216533;United States;30/11/1989
(Just Like) Starting Over;John Lennon;80;12;421;236547;United Kingdom;30/09/1985
I Love Rock ’N Roll;Joan Jett & The Blackhearts;80;13;901;175173;United States;25/05/1989
Ebony & Ivory;Paul McCartney & Stevie Wonder;80;14;785;220773;United Kingdom;09/12/1989
That’s What Friends Are For;Dionne Warwick;80;15;207;257360;United States;25/03/1981
Upside Down;Diana Ross;80;16;866;245600;United States;02/06/1989
Abracadabra;Steve Miller Band;80;17;963;308373;United States;29/09/1982
Billie Jean;Michael Jackson;80;18;847;293827;United States;25/10/1981
Say You, Say Me;Lionel Richie;80;19;233;241067;United States;22/10/1981
All Night Long (All Night);Lionel Richie;80;20;78;260427;United States;03/05/1981
How Do I Live;LeAnne Rimes;90;1;258;266973;United States;15/09/1993
Macarena;Los Del Rio;90;2;965;253107;Spain;13/03/1995
Un-Break My Heart;Toni Braxton;90;3;112;270333;United States;20/03/1990
Foolish Games;Jewel;90;4;174;340667;United States;26/02/1990
(Everything I Do) I Do It For You;Bryan Adams;90;5;298;394133;Canada;20/09/1997
I’ll Make Love To You;Boyz II Men;90;6;244;236773;United States;13/04/1991
Too Close;Next;90;7;752;259440;United States;19/07/1996
One Sweet Day;Mariah Carey & Boyz II Men;90;8;302;281067;United States;10/08/1990
Truly Madly Deeply;Savage Garden;90;9;816;277267;Australia;28/04/1991
Candle In the Wind;Elton John;90;10;526;229533;United Kingdom;07/09/1992
End Of the Road;Boyz II Men;90;11;505;351467;United States;18/03/1998
The Sign;Ace of Base;90;12;899;191240;Sweden;24/12/1995
The Boy is Mine;Brandy & Monica;90;13;761;294787;United States;09/09/1992
Because I Love You;Stevie B;90;14;888;260267;United States;20/12/1996
Whoomp! (There It Is);Tag Team;90;15;45;226027;United States;12/09/1998
Rush Rush;Paula Abdul;90;16;395;292933;United States;28/12/1994
You’re Still the One;Shania Twain;90;17;642;212560;Canada;10/05/1996
I Will Always Love You;Whitney Houston;90;18;108;271093;United States;20/08/1991
Gangsta’s Paradise;Coolio & LV;90;19;387;240693;United States;20/12/1993
Nothing Compares 2 U;Sinead O’Connor;90;20;161;280040;Ireland;08/03/1996
We Belong Together;Mariah Carey;2000;1;778;201400;United States;04/02/2006
Yeah!;Usher;2000;2;583;250373;United States;25/09/2008
Low;Flo Rida;2000;3;304;231400;United States;10/11/2000
I Gotta Feeling;Black Eyed Peas;2000;4;6;289133;United States;16/09/2007
How You Remind Me;Nickelback;2000;5;519;224173;Canada;13/05/2005
No One;Alicia Keys;2000;6;166;253813;United States;07/07/2005
Boom Boom Pow;Black Eyed Peas;2000;7;395;251440;United States;22/01/2003
Let Me Love You;Mario;2000;8;556;256733;United States;13/12/2003
Gold Digger;Kanye West & Jamie Foxx;2000;9;66;207627;United States;19/06/2008
Apologize;Timbaland & One Republic;2000;10;118;184400;United States;26/12/2004
Dillemma;Nelly & Kelly Rowland;2000;11;621;289173;United States;04/04/2008
Family Affair;Mary J. Blige;2000;12;966;265867;United States;23/12/2000
Big Girls Don’t Cry;Fergie;2000;13;292;268120;United States;23/03/2002
Maria Maria;Santana & The Product G&B;2000;14;68;261973;United States;17/01/2008
U Got It Bad;Usher;2000;15;649;247840;United States;14/11/2001
Whatever You Like;T.I.;2000;16;467;249533;United States;08/08/2007
Bleeding Love;Leona Lewis;2000;17;225;262467;United Kingdom;07/01/2008
Independent Women, Part I;Destiny’s Child;2000;18;927;221133;United States;30/03/2005
Foolish;Ashanti;2000;19;69;227387;United States;04/02/2009
Hey Ya!;Outkast;2000;20;963;239240;United States;16/05/2000
